blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
8543-ConvertLib.convert,43,67,4,14,0.6090909090909091
9757-ZhenNet.store,45,65,4,14,0.5909090909090909
2931-StringDump.emitEvent,48,62,4,14,0.5636363636363636
1851-secondContract.BirthdayBoyClickHere,58,52,4,14,0.4727272727272727
4500-OrderString.getOrderString,58,52,4,14,0.4727272727272727
9192-proofofpower.uploadData,60,50,3,15,0.45454545454545453
2979-WhiteList.canTransfer,64,46,5,13,0.41818181818181815
2844-InternalTxsTest.batch,66,44,4,14,0.4
3655-Factory.createPermissionsBot,66,44,5,13,0.4
5716-ViewBalances.checkBalances,73,37,4,14,0.33636363636363636
7006-NameFilter.nameFilter,74,36,6,12,0.32727272727272727
6158-GongChuangToken.GongChuangToken,75,35,7,11,0.3181818181818182
2742-Hasher.hashLoop,77,33,6,12,0.3
5267-MultiTransfer.multiTransfer,81,29,8,10,0.2636363636363636
7772-getKittyInfo.getInfo,81,29,7,11,0.2636363636363636
1721-StringYokes.zint_bytes32ToString,82,28,5,13,0.2545454545454545
1726-StringYokes.zint_bytes32ToString,82,28,5,13,0.2545454545454545
1905-StringYokes.zint_bytes32ToString,82,28,5,13,0.2545454545454545
5936-StringYokes.zint_bytes32ToString,82,28,5,13,0.2545454545454545
2609-airdropManager.send,83,27,8,10,0.24545454545454545
2418-Untitled.test,84,26,6,12,0.23636363636363636
5178-Rainmaker.letItRain,84,26,7,11,0.23636363636363636
6576-CustomToken.CustomToken,84,26,8,10,0.23636363636363636
7041-Airdrop.drop,84,26,8,10,0.23636363636363636
8328-CustomToken.CustomToken,84,26,7,11,0.23636363636363636
9700-Airdrop.drop,84,26,8,10,0.23636363636363636
9800-CustomToken.CustomToken,84,26,8,10,0.23636363636363636
1967-CustomToken.CustomToken,85,25,8,10,0.22727272727272727
2032-CustomToken.CustomToken,85,25,8,10,0.22727272727272727
6402-CustomToken.CustomToken,85,25,8,10,0.22727272727272727
7505-CustomToken.CustomToken,85,25,8,10,0.22727272727272727
1816-CustomToken.CustomToken,86,24,8,10,0.21818181818181817
351-CustomToken.CustomToken,86,24,7,11,0.21818181818181817
4036-CustomToken.CustomToken,86,24,8,10,0.21818181818181817
4520-CustomToken.CustomToken,86,24,7,11,0.21818181818181817
8463-CustomToken.CustomToken,86,24,8,10,0.21818181818181817
4088-CustomToken.CustomToken,87,23,8,10,0.20909090909090908
5285-CustomToken.CustomToken,87,23,7,11,0.20909090909090908
8406-balanceChecker.checkBals,88,22,8,10,0.2
5958-VpaxContract.transferCoins,89,21,8,10,0.19090909090909092
7303-CustomToken.CustomToken,89,21,8,10,0.19090909090909092
4043-CustomToken.CustomToken,90,20,8,10,0.18181818181818182
2230-CustomToken.CustomToken,92,18,8,10,0.16363636363636364
2273-Airdropper.multisend,92,18,8,10,0.16363636363636364
2912-Airdropper.multisend,93,17,10,8,0.15454545454545454
1834-CustomToken.CustomToken,94,16,8,10,0.14545454545454545
2675-Airdropper.multisend,94,16,8,10,0.14545454545454545
761-MultiTransfer.transfer,94,16,9,9,0.14545454545454545
8458-CustomToken.CustomToken,94,16,9,9,0.14545454545454545
9196-CustomToken.CustomToken,94,16,8,10,0.14545454545454545
9689-CustomToken.CustomToken,94,16,9,9,0.14545454545454545
3405-Airdropper.multisend,95,15,9,9,0.13636363636363635
457-CustomToken.CustomToken,95,15,8,10,0.13636363636363635
6270-CustomToken.CustomToken,95,15,8,10,0.13636363636363635
801-CustomToken.CustomToken,95,15,9,9,0.13636363636363635
8228-ENXAirDrop.airDrop,95,15,10,8,0.13636363636363635
8846-CustomToken.CustomToken,95,15,9,9,0.13636363636363635
2488-Airdropper.multisend,96,14,9,9,0.12727272727272726
3993-Giver.getToken,96,14,12,6,0.12727272727272726
5286-CustomToken.CustomToken,96,14,9,9,0.12727272727272726
5444-Airdropper.multisend,96,14,9,9,0.12727272727272726
5496-CustomToken.CustomToken,96,14,9,9,0.12727272727272726
5848-Airdropper.multisend,96,14,9,9,0.12727272727272726
6279-CustomToken.CustomToken,96,14,7,11,0.12727272727272726
7070-CustomToken.CustomToken,97,13,8,10,0.11818181818181818
9900-Disperse.disperseToken,97,13,9,9,0.11818181818181818
3671-Foo.doit,98,12,12,6,0.10909090909090909
3682-Foo.doit,98,12,11,7,0.10909090909090909
3829-ECRecovery.recover,98,12,10,8,0.10909090909090909
7540-LoeriadeNabidaz.pay,98,12,7,11,0.10909090909090909
920-QuantumpayAirdropper.multisend,98,12,9,9,0.10909090909090909
9827-CustomToken.CustomToken,98,12,8,10,0.10909090909090909
1976-Airdropper.multisend,99,11,8,10,0.1
2242-Airdropper.multisend,99,11,8,10,0.1
2297-BITXMultiTransfer.multisend,99,11,10,8,0.1
3916-br.sendToken,99,11,9,9,0.1
7364-FileCoinCash.FileCoinCash,99,11,10,8,0.1
1004-Airdrop.doAirdrop,100,10,13,5,0.09090909090909091
1863-StringLib.generateName,100,10,11,7,0.09090909090909091
526-GetsBurned.BurnMe,101,9,13,5,0.08181818181818182
2505-EthealHodlHelper.getAddress,105,5,11,7,0.045454545454545456
3917-Brute.sendToken,105,5,11,7,0.045454545454545456
449-Airdrop.multisend,105,5,14,4,0.045454545454545456
2015-AirDropContract.transfer,106,4,16,2,0.03636363636363636
6323-ParaTransfer.superTransfer,106,4,14,4,0.03636363636363636
9880-Authority.canCall,106,4,17,1,0.03636363636363636
9877-Authority.canCall,107,3,17,1,0.02727272727272727
1138-Destroy.delegatecall_selfdestruct,108,2,15,3,0.01818181818181818
4479-cyberEntry2.cyberEntry2,108,2,15,3,0.01818181818181818
7451-AirDrop.airDrop,108,2,17,1,0.01818181818181818
1871-T_TOTAL.retrieve,109,1,18,0,0.00909090909090909
345-demo.transfer,109,1,18,0,0.00909090909090909
450-EBU.transfer,109,1,18,0,0.00909090909090909
8350-EthealHelper.forwardable,109,1,16,2,0.00909090909090909
261-EBU.transfer,110,0,18,0,0.0
2946-SuicideContract.NukeContract,110,0,18,0,0.0
2997-RatForward.get,110,0,18,0,0.0
3129-test.record_human_readable_blockhash,110,0,18,0,0.0
3490-RatForward.get,110,0,18,0,0.0
3777-Fees.payout,110,0,18,0,0.0
