blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
wiggle-sort-ii-Solution2.wiggleSort,2,41,5,52,0.9534883720930233
k-highest-ranked-items-within-a-price-range-Solution.highestRankedKItems,4,39,7,50,0.9069767441860465
maximum-number-of-ones-Solution.maximumNumberOfOnes,4,39,2,55,0.9069767441860465
maximum-product-of-the-length-of-two-palindromic-subsequences-Solution.maxProduct,4,39,5,52,0.9069767441860465
maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold-Solution.maxSideLength,4,39,9,48,0.9069767441860465
number-of-ways-to-separate-numbers-Solution.numberOfCombinations,4,39,4,53,0.9069767441860465
verbal-arithmetic-puzzle-Solution.isSolvable,4,39,9,48,0.9069767441860465
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence-Solution.isPrefixOfWord,5,38,12,45,0.8837209302325582
greatest-common-divisor-of-strings-Solution.gcdOfStrings,5,38,2,55,0.8837209302325582
next-palindrome-using-same-digits-Solution.nextPalindrome,5,38,8,49,0.8837209302325582
sell-diminishing-valued-colored-balls-Solution.maxProfit,5,38,3,54,0.8837209302325582
smallest-k-length-subsequence-with-occurrences-of-a-letter-Solution.smallestSubsequence,5,38,5,52,0.8837209302325582
cutting-ribbons-Solution.maxLength,6,37,3,54,0.8604651162790697
escape-a-large-maze-Solution.isEscapePossible,6,37,4,53,0.8604651162790697
find-the-largest-palindrome-divisible-by-k-Solution.largestPalindrome,6,37,5,52,0.8604651162790697
game-of-life-Solution.gameOfLife,6,37,7,50,0.8604651162790697
handling-sum-queries-after-update-Solution.handleQuery,6,37,3,54,0.8604651162790697
maximize-number-of-nice-divisors-Solution.maxNiceDivisors,6,37,4,53,0.8604651162790697
minimum-non-zero-product-of-the-array-elements-Solution.minNonZeroProduct,6,37,4,53,0.8604651162790697
number-of-single-divisor-triplets-Solution.singleDivisorTriplet,6,37,4,53,0.8604651162790697
check-if-a-number-is-majority-element-in-a-sorted-array-Solution.isMajorityElement,7,36,3,54,0.8372093023255814
count-of-integers-Solution.count,7,36,6,51,0.8372093023255814
count-sorted-vowel-strings-Solution.countVowelStrings,7,36,4,53,0.8372093023255814
find-a-peak-element-ii-Solution.findPeakGrid,7,36,5,52,0.8372093023255814
find-the-occurrence-of-first-almost-equal-substring-Solution.minStartingIndex,7,36,1,56,0.8372093023255814
merge-two-2d-arrays-by-summing-values-Solution.mergeArrays,7,36,1,56,0.8372093023255814
minimum-adjacent-swaps-to-reach-the-kth-smallest-number-Solution.getMinSwaps,7,36,6,51,0.8372093023255814
missing-element-in-sorted-array-Solution.missingElement,7,36,2,55,0.8372093023255814
smallest-integer-divisible-by-k-Solution.smallestRepunitDivByK,7,36,3,54,0.8372093023255814
count-unhappy-friends-Solution.unhappyFriends,8,35,9,48,0.813953488372093
distribute-repeating-integers-Solution.canDistribute,8,35,9,48,0.813953488372093
find-first-and-last-position-of-element-in-sorted-array-Solution.searchRange,8,35,6,51,0.813953488372093
minimum-cost-homecoming-of-a-robot-in-a-grid-Solution.minCost,8,35,7,50,0.813953488372093
number-of-unique-good-subsequences-Solution.numberOfUniqueGoodSubsequences,8,35,0,57,0.813953488372093
number-of-ways-to-reconstruct-a-tree-Solution.checkWays,8,35,7,50,0.813953488372093
prime-palindrome-Solution.primePalindrome,8,35,2,55,0.813953488372093
the-earliest-and-latest-rounds-where-players-compete-Solution.earliestAndLatest,8,35,5,52,0.813953488372093
ugly-number-iii-Solution.nthUglyNumber,8,35,5,52,0.813953488372093
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,9,34,3,54,0.7906976744186046
collect-coins-in-a-tree-Solution.collectTheCoins,9,34,9,48,0.7906976744186046
determine-whether-matrix-can-be-obtained-by-rotation-Solution.findRotation,9,34,5,52,0.7906976744186046
kth-missing-positive-number-Solution.findKthPositive,9,34,4,53,0.7906976744186046
maximum-employees-to-be-invited-to-a-meeting-Solution.maximumInvitations,9,34,4,53,0.7906976744186046
minimum-limit-of-balls-in-a-bag-Solution.minimumSize,9,34,6,51,0.7906976744186046
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls-Solution.getProbability,9,34,4,53,0.7906976744186046
set-matrix-zeroes-Solution.setZeroes,9,34,5,52,0.7906976744186046
shortest-bridge-Solution.shortestBridge,9,34,10,47,0.7906976744186046
stone-game-ix-Solution.stoneGameIX,9,34,10,47,0.7906976744186046
sum-game-Solution.sumGame,9,34,8,49,0.7906976744186046
