blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
correct-a-binary-tree-Solution.correctBinaryTree,2,80,2,16,0.975609756097561
minimum-moves-to-move-a-box-to-their-target-location-Solution.minPushBox,2,80,2,16,0.975609756097561
strong-password-checker-ii-Solution.strongPasswordCheckerII,2,80,0,18,0.975609756097561
minimum-distance-to-the-target-element-Solution.getMinDistance,3,79,1,17,0.9634146341463414
number-of-ways-to-reach-a-position-after-exactly-k-steps-Solution.numberOfWays,3,79,1,17,0.9634146341463414
escape-a-large-maze-Solution.isEscapePossible,4,78,0,18,0.9512195121951219
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree-Solution.getTargetCopy,4,78,0,18,0.9512195121951219
sum-game-Solution.sumGame,4,78,1,17,0.9512195121951219
count-the-number-of-houses-at-a-certain-distance-ii-Solution.countOfPairs,5,77,1,17,0.9390243902439024
find-first-and-last-position-of-element-in-sorted-array-Solution.searchRange,5,77,2,16,0.9390243902439024
number-of-single-divisor-triplets-Solution.singleDivisorTriplet,5,77,0,18,0.9390243902439024
number-of-unique-good-subsequences-Solution.numberOfUniqueGoodSubsequences,5,77,0,18,0.9390243902439024
the-earliest-and-latest-rounds-where-players-compete-Solution.earliestAndLatest,5,77,2,16,0.9390243902439024
incremental-memory-leak-Solution.memLeak,6,76,3,15,0.926829268292683
maximum-number-of-ones-Solution.maximumNumberOfOnes,6,76,1,17,0.926829268292683
k-concatenation-maximum-sum-Solution.kConcatenationMaxSum,7,75,0,18,0.9146341463414634
maximum-sum-obtained-of-any-permutation-Solution.maxSumRangeQuery,7,75,0,18,0.9146341463414634
maximum-sum-of-subsequence-with-non-adjacent-elements-Solution.maximumSumSubsequence,7,75,2,16,0.9146341463414634
maximum-value-at-a-given-index-in-a-bounded-array-Solution.maxValue,7,75,2,16,0.9146341463414634
path-with-maximum-probability-Solution.maxProbability,7,75,2,16,0.9146341463414634
double-modular-exponentiation-Solution.getGoodIndices,8,74,0,18,0.9024390243902439
find-nearest-right-node-in-binary-tree-Solution.findNeartestRightNode,8,74,1,17,0.9024390243902439
mean-of-array-after-removing-some-elements-Solution.trimMean,8,74,0,18,0.9024390243902439
sell-diminishing-valued-colored-balls-Solution.maxProfit,8,74,0,18,0.9024390243902439
time-taken-to-cross-the-door-Solution.timeTaken,8,74,1,17,0.9024390243902439
determine-if-two-strings-are-close-Solution.closeStrings,9,73,2,16,0.8902439024390244
get-biggest-three-rhombus-sums-in-a-grid-Solution.getBiggestThree,9,73,0,18,0.8902439024390244
kth-smallest-instructions-Solution.kthSmallestPath,9,73,1,17,0.8902439024390244
maximum-product-of-the-length-of-two-palindromic-subsequences-Solution.maxProduct,9,73,0,18,0.8902439024390244
minimum-cost-homecoming-of-a-robot-in-a-grid-Solution.minCost,9,73,0,18,0.8902439024390244
minimum-swaps-to-make-strings-equal-Solution.minimumSwap,9,73,0,18,0.8902439024390244
shortest-bridge-Solution.shortestBridge,9,73,2,16,0.8902439024390244
smallest-k-length-subsequence-with-occurrences-of-a-letter-Solution.smallestSubsequence,9,73,2,16,0.8902439024390244
traffic-light-controlled-intersection-TrafficLight.carArrived,9,73,1,17,0.8902439024390244
count-k-subsequences-of-a-string-with-maximum-beauty-Solution.countKSubsequencesWithMaxBeauty,10,72,3,15,0.8780487804878049
create-binary-tree-from-descriptions-Solution.createBinaryTree,10,72,0,18,0.8780487804878049
decoded-string-at-index-Solution.decodeAtIndex,10,72,0,18,0.8780487804878049
