blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
8002-LiterallyMinecraft.getCatImage,78,44,4,2,0.36065573770491804
8526-InitialMTTokenIMT._transferFrom,95,27,6,0,0.22131147540983606
5996-MNYTiers.loadData,104,18,6,0,0.14754098360655737
4953-VIRALTOKEN.approveAndCall,105,17,1,5,0.13934426229508196
8312-Exchange.trade,107,15,5,1,0.12295081967213115
2008-ETHERberry.canPay,110,12,2,4,0.09836065573770492
2322-ETHERberry.canPay,111,11,3,3,0.09016393442622951
6411-Queue._queue,111,11,2,4,0.09016393442622951
7384-Jackpot.joinwithreferral,111,11,4,2,0.09016393442622951
2872-TeamTokenLock.getAllowedAmountByTeam,112,10,4,2,0.08196721311475409
3998-TokenTycoonIGO.buy,112,10,4,2,0.08196721311475409
7362-FileCoinCash.FileCoinCash,112,10,5,1,0.08196721311475409
5588-CustomToken.CustomToken,113,9,5,1,0.07377049180327869
4487-TokenVestingFactory.createVestingContractWithFloatingPercent,114,8,2,4,0.06557377049180328
4836-ETHx2.purchase,114,8,5,1,0.06557377049180328
1437-Token.decision,115,7,3,3,0.05737704918032787
1488-BatchTransfer.transferFrom,116,6,5,1,0.04918032786885246
154-SingleSourceIdentity.claim,116,6,2,4,0.04918032786885246
4073-ArtStamp.signEscrow,116,6,6,0,0.04918032786885246
4695-ETHx2.purchase,116,6,6,0,0.04918032786885246
5805-POH.joinwithreferral,116,6,4,2,0.04918032786885246
5808-POH.joinwithreferral,116,6,2,4,0.04918032786885246
879-SNcoin_AgentsSale.buy,116,6,5,1,0.04918032786885246
159-SingleSourceIdentity.claim,117,5,4,2,0.040983606557377046
2537-ListingsERC20NoDecimal.buyListing,117,5,5,1,0.040983606557377046
2963-IMDEXDexchange.IMDEXtrade,117,5,4,2,0.040983606557377046
3407-Functions.decreaseApproval,117,5,3,3,0.040983606557377046
649-DVPlock.release,117,5,4,2,0.040983606557377046
7268-MangGuoToken.airDrop,117,5,5,1,0.040983606557377046
8689-InitialMoneyTokenIMT._transferFrom,117,5,4,2,0.040983606557377046
2551-ListingsERC20.buyListing,118,4,4,2,0.03278688524590164
4000-TokenTycoonIGO.buy,118,4,6,0,0.03278688524590164
4835-AmazonBestsellerLabs.approveAndCall,118,4,4,2,0.03278688524590164
5176-SafeMath.mul,118,4,5,1,0.03278688524590164
5918-POH.joinwithreferral,118,4,3,3,0.03278688524590164
7006-NameFilter.nameFilter,118,4,4,2,0.03278688524590164
74-MultiBuyer.buy,118,4,4,2,0.03278688524590164
2404-YomiToken._transfer,119,3,4,2,0.02459016393442623
