blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
maximize-the-minimum-powered-city-Solution.maxPower,11,42,4,43,0.7924528301886793
bomb-enemy-Solution.maxKilledEnemies,14,39,3,44,0.7358490566037735
grid-illumination-Solution.gridIllumination,14,39,7,40,0.7358490566037735
maximum-star-sum-of-a-graph-Solution.maxStarSum,15,38,1,46,0.7169811320754716
minimum-total-cost-to-make-arrays-unequal-Solution.minimumTotalCost,15,38,7,40,0.7169811320754716
count-substrings-that-satisfy-k-constraint-ii-Solution.countKConstraintSubstrings,16,37,6,41,0.6981132075471698
smallest-integer-divisible-by-k-Solution.smallestRepunitDivByK,16,37,9,38,0.6981132075471698
perfect-rectangle-Solution.isRectangleCover,17,36,2,45,0.6792452830188679
maximum-non-negative-product-in-a-matrix-Solution.maxProductPath,18,35,6,41,0.660377358490566
maximum-sum-queries-Solution.maximumSumQueries,19,34,2,45,0.6415094339622641
rotting-oranges-Solution.orangesRotting,19,34,2,45,0.6415094339622641
stone-game-vi-Solution.stoneGameVI,19,34,4,43,0.6415094339622641
surrounded-regions-Solution.solve,19,34,2,45,0.6415094339622641
as-far-from-land-as-possible-Solution.maxDistance,20,33,2,45,0.6226415094339622
cheapest-flights-within-k-stops-Solution.findCheapestPrice,20,33,3,44,0.6226415094339622
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,20,33,1,46,0.6226415094339622
collect-coins-in-a-tree-Solution.collectTheCoins,20,33,5,42,0.6226415094339622
get-watched-videos-by-your-friends-Solution.watchedVideosByFriends,20,33,4,43,0.6226415094339622
shortest-subarray-with-or-at-least-k-ii-Solution.minimumSubarrayLength,20,33,4,43,0.6226415094339622
maximum-number-of-points-from-grid-queries-Solution.maxPoints,21,32,4,43,0.6037735849056604
maximum-sum-of-3-non-overlapping-subarrays-Solution.maxSumOfThreeSubarrays,21,32,6,41,0.6037735849056604
maximum-value-sum-by-placing-three-rooks-i-Solution.maximumValueSum,21,32,3,44,0.6037735849056604
