case_id,vuln_type,audit_report,gt,eval_score,eval_input_token_num,eval_output_token_num,eval_inference_time
11,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.621978759765625
12,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.661750078201294
13,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.2125141620635986
14,access control,error: gpt4 fail,access control,1.0,440.0,6.0,3.2353737354278564
15,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.9494502544403076
16,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.7327229976654053
17,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.1887338161468506
18,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.6955320835113525
19,access control,error: gpt4 fail,access control,0.0,440.0,6.0,3.1031713485717773
20,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.4642739295959473
21,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.107795238494873
22,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.6061291694641113
23,access control,error: gpt4 fail,access control,1.0,440.0,6.0,3.477473735809326
24,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.0914947986602783
25,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.302112340927124
26,access control,error: gpt4 fail,access control,1.0,440.0,6.0,2.62972092628479
27,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,4.888636589050293
28,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.456035614013672
29,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.6839652061462402
30,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.4853765964508057
31,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,1.6889562606811523
32,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.6708946228027344
33,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.511897087097168
34,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.66794490814209
35,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.9153308868408203
36,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.334930181503296
37,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.63822603225708
38,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,6.322356700897217
39,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,4.0265772342681885
40,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.384418487548828
41,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.549328327178955
42,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.7536134719848633
43,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,2.346109390258789
44,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,4.562686204910278
45,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.5465564727783203
46,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.1287295818328857
47,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.3945746421813965
48,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.455986499786377
49,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.055184841156006
50,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.757192850112915
51,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,2.3341894149780273
52,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.471871852874756
53,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.333820343017578
54,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,3.626441717147827
55,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.9318525791168213
56,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,4.959215879440308
57,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.0661981105804443
58,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,2.347843885421753
59,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,1.9812090396881104
60,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,1.595757007598877
61,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.0149149894714355
62,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.9269981384277344
63,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.190363645553589
64,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,1.8454740047454834
65,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.1837260723114014
66,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,4.308238744735718
67,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.6153862476348877
68,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.584815502166748
69,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.636382818222046
70,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,1.7823598384857178
71,unchecked low level calls,error: gpt4 fail,unchecked low level calls,0.0,442.0,6.0,2.597257375717163
72,unchecked low level calls,error: gpt4 fail,unchecked low level calls,1.0,442.0,6.0,3.506978988647461
73,front running,error: gpt4 fail,front running,1.0,440.0,6.0,1.8409583568572998
74,front running,error: gpt4 fail,front running,1.0,440.0,6.0,3.357466220855713
75,front running,error: gpt4 fail,front running,1.0,440.0,6.0,3.2654905319213867
76,front running,error: gpt4 fail,front running,1.0,440.0,6.0,2.7312657833099365
77,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.951690673828125
78,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.5082619190216064
79,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,3.573305130004883
80,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.9583001136779785
81,arithmetic,error: gpt4 fail,arithmetic,0.0,439.0,6.0,2.056325912475586
82,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.645167350769043
83,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.936014175415039
84,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,3.026726007461548
85,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.8612418174743652
86,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.921945333480835
87,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,3.076688051223755
88,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.8203883171081543
89,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.500927448272705
90,arithmetic,error: gpt4 fail,arithmetic,1.0,439.0,6.0,2.9687860012054443
91,bad randomness,error: gpt4 fail,bad randomness,1.0,440.0,6.0,4.778064489364624
92,bad randomness,error: gpt4 fail,bad randomness,0.0,440.0,6.0,2.6644680500030518
93,bad randomness,error: gpt4 fail,bad randomness,1.0,440.0,6.0,4.277262926101685
94,bad randomness,error: gpt4 fail,bad randomness,1.0,440.0,6.0,3.3485262393951416
95,bad randomness,error: gpt4 fail,bad randomness,1.0,440.0,6.0,2.6129298210144043
96,bad randomness,error: gpt4 fail,bad randomness,0.0,440.0,6.0,3.7719693183898926
97,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.0740222930908203
98,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.704601526260376
99,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.611211061477661
100,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.6195924282073975
