case_id,vuln_type,audit_report,input_token_num,output_token_num,inference_time
11,access control,error: gpt4 fail,0,0,16.854126691818237
12,access control,error: gpt4 fail,0,0,17.36397385597229
13,access control,error: gpt4 fail,0,0,17.79387617111206
14,access control,error: gpt4 fail,0,0,16.97395372390747
15,access control,error: gpt4 fail,0,0,17.591526746749878
16,access control,error: gpt4 fail,0,0,17.352088928222656
17,access control,error: gpt4 fail,0,0,17.012933015823364
18,access control,error: gpt4 fail,0,0,17.562463998794556
19,access control,error: gpt4 fail,0,0,17.01609206199646
20,access control,error: gpt4 fail,0,0,17.00431227684021
21,access control,error: gpt4 fail,0,0,17.597790479660034
22,access control,error: gpt4 fail,0,0,17.248471975326538
23,access control,error: gpt4 fail,0,0,17.060136795043945
24,access control,error: gpt4 fail,0,0,17.773075580596924
25,access control,error: gpt4 fail,0,0,17.28968381881714
26,access control,error: gpt4 fail,0,0,17.341769456863403
27,unchecked low level calls,error: gpt4 fail,0,0,17.6085205078125
28,unchecked low level calls,error: gpt4 fail,0,0,16.83438777923584
29,unchecked low level calls,error: gpt4 fail,0,0,17.39964985847473
30,unchecked low level calls,error: gpt4 fail,0,0,17.69554042816162
31,unchecked low level calls,error: gpt4 fail,0,0,16.75809383392334
32,unchecked low level calls,error: gpt4 fail,0,0,17.52808451652527
33,unchecked low level calls,error: gpt4 fail,0,0,17.24804663658142
34,unchecked low level calls,error: gpt4 fail,0,0,17.117167472839355
35,unchecked low level calls,error: gpt4 fail,0,0,18.07863998413086
36,unchecked low level calls,error: gpt4 fail,0,0,17.266900062561035
37,unchecked low level calls,error: gpt4 fail,0,0,17.589953660964966
38,unchecked low level calls,error: gpt4 fail,0,0,16.988255262374878
39,unchecked low level calls,error: gpt4 fail,0,0,17.322211503982544
40,unchecked low level calls,error: gpt4 fail,0,0,16.830015897750854
41,unchecked low level calls,error: gpt4 fail,0,0,17.354599237442017
42,unchecked low level calls,error: gpt4 fail,0,0,17.698251962661743
43,unchecked low level calls,error: gpt4 fail,0,0,17.46819305419922
44,unchecked low level calls,error: gpt4 fail,0,0,17.308961629867554
45,unchecked low level calls,error: gpt4 fail,0,0,17.399258375167847
46,unchecked low level calls,error: gpt4 fail,0,0,17.09181022644043
47,unchecked low level calls,error: gpt4 fail,0,0,17.36943793296814
48,unchecked low level calls,error: gpt4 fail,0,0,17.509342193603516
49,unchecked low level calls,error: gpt4 fail,0,0,17.782997131347656
50,unchecked low level calls,error: gpt4 fail,0,0,17.741918563842773
51,unchecked low level calls,error: gpt4 fail,0,0,17.572141408920288
52,unchecked low level calls,error: gpt4 fail,0,0,17.155725479125977
53,unchecked low level calls,error: gpt4 fail,0,0,16.79647207260132
54,unchecked low level calls,error: gpt4 fail,0,0,17.438506364822388
55,unchecked low level calls,error: gpt4 fail,0,0,18.25085163116455
56,unchecked low level calls,error: gpt4 fail,0,0,17.528621912002563
57,unchecked low level calls,error: gpt4 fail,0,0,17.620051622390747
58,unchecked low level calls,error: gpt4 fail,0,0,17.2702739238739
59,unchecked low level calls,error: gpt4 fail,0,0,17.988027572631836
60,unchecked low level calls,error: gpt4 fail,0,0,17.512953758239746
61,unchecked low level calls,error: gpt4 fail,0,0,17.136642456054688
62,unchecked low level calls,error: gpt4 fail,0,0,17.260242700576782
63,unchecked low level calls,error: gpt4 fail,0,0,17.480260610580444
64,unchecked low level calls,error: gpt4 fail,0,0,17.60425639152527
65,unchecked low level calls,error: gpt4 fail,0,0,17.46102523803711
66,unchecked low level calls,error: gpt4 fail,0,0,17.04241394996643
67,unchecked low level calls,error: gpt4 fail,0,0,17.95077657699585
68,unchecked low level calls,error: gpt4 fail,0,0,17.494250774383545
69,unchecked low level calls,error: gpt4 fail,0,0,17.245806455612183
70,unchecked low level calls,error: gpt4 fail,0,0,17.63093590736389
71,unchecked low level calls,error: gpt4 fail,0,0,17.38707995414734
72,unchecked low level calls,error: gpt4 fail,0,0,17.823004245758057
73,front running,error: gpt4 fail,0,0,17.141648769378662
74,front running,error: gpt4 fail,0,0,17.493921518325806
75,front running,error: gpt4 fail,0,0,17.598123788833618
76,front running,error: gpt4 fail,0,0,16.99160671234131
77,arithmetic,error: gpt4 fail,0,0,17.204641819000244
78,arithmetic,error: gpt4 fail,0,0,16.962457418441772
79,arithmetic,error: gpt4 fail,0,0,17.09088134765625
80,arithmetic,error: gpt4 fail,0,0,17.229727029800415
81,arithmetic,error: gpt4 fail,0,0,17.326506853103638
82,arithmetic,error: gpt4 fail,0,0,16.742254972457886
83,arithmetic,error: gpt4 fail,0,0,17.191723823547363
84,arithmetic,error: gpt4 fail,0,0,17.439288854599
85,arithmetic,error: gpt4 fail,0,0,17.20719623565674
86,arithmetic,error: gpt4 fail,0,0,17.837157249450684
87,arithmetic,error: gpt4 fail,0,0,17.645930528640747
88,arithmetic,error: gpt4 fail,0,0,17.400200605392456
89,arithmetic,error: gpt4 fail,0,0,17.145195484161377
90,arithmetic,error: gpt4 fail,0,0,17.540853261947632
91,bad randomness,error: gpt4 fail,0,0,17.271601676940918
92,bad randomness,error: gpt4 fail,0,0,17.69351577758789
93,bad randomness,error: gpt4 fail,0,0,17.83681583404541
94,bad randomness,error: gpt4 fail,0,0,17.005318641662598
95,bad randomness,error: gpt4 fail,0,0,17.356239080429077
96,bad randomness,error: gpt4 fail,0,0,17.160659074783325
97,reentrancy,error: gpt4 fail,0,0,17.571779012680054
98,reentrancy,error: gpt4 fail,0,0,17.06613802909851
99,reentrancy,error: gpt4 fail,0,0,17.391772508621216
100,reentrancy,error: gpt4 fail,0,0,17.345772743225098
101,reentrancy,error: gpt4 fail,0,0,17.605641841888428
102,reentrancy,error: gpt4 fail,0,0,17.418935298919678
103,reentrancy,error: gpt4 fail,0,0,16.724151611328125
104,reentrancy,error: gpt4 fail,0,0,17.52574110031128
105,reentrancy,error: gpt4 fail,0,0,17.28120708465576
